I,Q
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
0.707106781186552,-0.707106781186543
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
5.88016157781706e-15,-1
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
-0.707106781186544,-0.707106781186551
